service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_88002,0,0,0,0,0,1,1,20260101,20991231
1_88003,0,0,0,0,0,1,1,20260101,20991231
1_88004,0,0,0,0,0,1,1,20260101,20991231
1_88005,0,0,0,0,0,1,1,20260101,20991231
1_88006,0,0,0,0,0,1,1,20260101,20991231
1_88007,0,0,0,0,0,1,1,20260101,20991231
1_89001,0,0,0,0,0,1,1,20260420,20991231
1_89002,0,0,0,0,0,1,1,20260420,20991231
1_89003,0,0,0,0,0,1,1,20260420,20991231
1_89004,0,0,0,0,0,1,1,20260420,20991231
1_89005,0,0,0,0,0,1,1,20260420,20991231
1_89006,0,0,0,0,0,1,1,20260420,20991231
1_89007,0,0,0,0,0,1,1,20260420,20991231
1_89008,0,0,0,0,0,1,1,20260420,20991231
1_89009,0,0,0,0,0,1,1,20260420,20991231
1_89010,0,0,0,0,0,1,1,20260420,20991231
1_89011,0,0,0,0,0,1,1,20260420,20991231
1_89205,1,1,1,1,1,0,0,20260501,20991231
1_89206,1,1,1,1,1,0,0,20260501,20991231
1_89207,1,1,1,1,1,0,0,20260501,20991231
1_89208,1,1,1,1,1,0,0,20260501,20991231
1_89209,1,1,1,1,1,0,0,20260501,20991231
1_89210,1,1,1,1,1,0,0,20260501,20991231
1_89211,1,1,1,1,1,0,0,20260501,20991231
1_89212,1,1,1,1,1,0,0,20260501,20991231
1_89213,1,1,1,1,1,0,0,20260501,20991231
1_89214,1,1,1,1,1,0,0,20260501,20991231
1_89215,1,1,1,1,1,0,0,20260501,20991231
1_89216,1,1,1,1,1,0,0,20260501,20991231
1_89217,1,1,1,1,1,0,0,20260501,20991231
1_89218,1,1,1,1,1,0,0,20260501,20991231
1_89219,1,1,1,1,1,0,0,20260501,20991231
1_89220,1,1,1,1,1,0,0,20260501,20991231
1_89221,1,1,1,1,1,0,0,20260501,20991231
1_89222,1,1,1,1,1,0,0,20260501,20991231
1_89223,1,1,1,1,1,0,0,20260501,20991231
1_89224,1,1,1,1,1,0,0,20260501,20991231
1_89225,1,1,1,1,1,0,0,20260501,20991231
1_89226,1,1,1,1,1,0,0,20260501,20991231
1_89227,1,1,1,1,1,0,0,20260501,20991231
1_89228,1,1,1,1,1,0,0,20260501,20991231
1_89229,1,1,1,1,1,0,0,20260501,20991231
1_89230,1,1,1,1,1,0,0,20260501,20991231
1_89231,1,1,1,1,1,0,0,20260501,20991231
1_89232,1,1,1,1,1,0,0,20260501,20991231
1_89233,1,1,1,1,1,0,0,20260501,20991231
1_89234,1,1,1,1,1,0,0,20260501,20991231
1_89235,1,1,1,1,1,0,0,20260501,20991231
1_89236,1,1,1,1,1,0,0,20260501,20991231
1_89237,1,1,1,1,1,0,0,20260501,20991231
1_89238,1,1,1,1,1,0,0,20260501,20991231
1_89239,1,1,1,1,1,0,0,20260501,20991231
1_89240,1,1,1,1,1,0,0,20260501,20991231
1_89241,1,1,1,1,1,0,0,20260501,20991231
1_89242,1,1,1,1,1,0,0,20260501,20991231
1_89243,1,1,1,1,1,0,0,20260501,20991231
1_89244,1,1,1,1,1,0,0,20260501,20991231
1_89245,1,1,1,1,1,0,0,20260501,20991231
1_89246,1,1,1,1,1,0,0,20260501,20991231
1_89247,1,1,1,1,1,0,0,20260501,20991231
1_89248,1,1,1,1,1,0,0,20260501,20991231
1_89249,1,1,1,1,1,0,0,20260501,20991231
1_89250,1,1,1,1,1,0,0,20260501,20991231
1_89251,1,1,1,1,1,0,0,20260501,20991231
1_89252,1,1,1,1,1,0,0,20260501,20991231
1_89253,1,1,1,1,1,0,0,20260501,20991231
1_89271,0,0,0,0,0,1,1,20260501,20991231
1_89272,0,0,0,0,0,1,1,20260501,20991231
1_89273,0,0,0,0,0,1,1,20260501,20991231
1_89274,0,0,0,0,0,1,1,20260501,20991231
1_89275,0,0,0,0,0,1,1,20260501,20991231
1_89276,0,0,0,0,0,1,1,20260501,20991231
1_89277,0,0,0,0,0,1,1,20260501,20991231
1_89281,0,0,0,0,0,1,1,20260501,20991231
1_89282,0,0,0,0,0,1,1,20260501,20991231
1_89283,0,0,0,0,0,1,1,20260501,20991231
1_89284,0,0,0,0,0,1,1,20260501,20991231
1_89285,0,0,0,0,0,1,1,20260501,20991231
1_89286,0,0,0,0,0,1,1,20260501,20991231
1_89601,0,0,0,0,0,1,1,20260606,20991231
1_89602,0,0,0,0,0,1,1,20260606,20991231
1_89603,0,0,0,0,0,1,1,20260606,20991231
1_89606,0,0,0,0,0,1,1,20260606,20991231
1_89607,0,0,0,0,0,1,1,20260606,20991231
1_89608,0,0,0,0,0,1,1,20260606,20991231
1_89609,0,0,0,0,0,1,1,20260606,20991231
1_89614,0,0,0,0,0,1,1,20260606,20991231
1_89615,0,0,0,0,0,1,1,20260606,20991231
1_89616,0,0,0,0,0,1,1,20260606,20991231
1_89617,0,0,0,0,0,1,1,20260606,20991231
1_89618,0,0,0,0,0,1,1,20260606,20991231
1_89619,0,0,0,0,0,1,1,20260606,20991231
1_89620,0,0,0,0,0,1,1,20260606,20991231
1_89621,0,0,0,0,0,1,1,20260606,20991231
1_89681,1,1,1,1,1,0,0,20260611,20991231
1_89682,1,1,1,1,1,0,0,20260611,20991231
1_89683,1,1,1,1,1,0,0,20260611,20991231
1_89684,1,1,1,1,1,0,0,20260611,20991231
1_89705,1,1,1,1,1,0,0,20260612,20991231
1_89706,1,1,1,1,1,0,0,20260612,20991231
1_89707,1,1,1,1,1,0,0,20260612,20991231
1_89708,1,1,1,1,1,0,0,20260612,20991231
1_89709,1,1,1,1,1,0,0,20260612,20991231
1_89710,1,1,1,1,1,0,0,20260612,20991231
1_89711,1,1,1,1,1,0,0,20260612,20991231
1_89712,1,1,1,1,1,0,0,20260612,20991231
1_89713,1,1,1,1,1,0,0,20260612,20991231
1_89714,1,1,1,1,1,0,0,20260612,20991231
1_89747,0,0,0,0,0,1,1,20260626,20991231
1_89748,0,0,0,0,0,1,1,20260626,20991231
1_89749,0,0,0,0,0,1,1,20260626,20991231
1_89750,0,0,0,0,0,1,1,20260626,20991231
1_89751,0,0,0,0,0,1,1,20260626,20991231
1_89752,0,0,0,0,0,1,1,20260626,20991231
1_89753,0,0,0,0,0,1,1,20260626,20991231
1_89754,0,0,0,0,0,1,1,20260626,20991231
1_89755,0,0,0,0,0,1,1,20260626,20991231
1_89756,0,0,0,0,0,1,1,20260626,20991231
1_89757,0,0,0,0,0,1,1,20260626,20991231
1_89758,0,0,0,0,0,1,1,20260626,20991231
1_89759,0,0,0,0,0,1,1,20260626,20991231
1_89760,0,0,0,0,0,1,1,20260626,20991231
1_89761,0,0,0,0,0,1,1,20260626,20991231
1_89762,0,0,0,0,0,1,1,20260626,20991231
1_89763,0,0,0,0,0,1,1,20260626,20991231
1_89764,0,0,0,0,0,1,1,20260626,20991231
1_89765,0,0,0,0,0,1,1,20260626,20991231
1_89766,0,0,0,0,0,1,1,20260626,20991231
1_89771,0,0,0,0,0,1,1,20260701,20991231
1_89772,0,0,0,0,0,1,1,20260701,20991231
1_89773,0,0,0,0,0,1,1,20260701,20991231
1_89774,0,0,0,0,0,1,1,20260701,20991231
1_89775,0,0,0,0,0,1,1,20260701,20991231
1_89776,0,0,0,0,0,1,1,20260701,20991231
1_89777,0,0,0,0,0,1,1,20260701,20991231
1_89778,0,0,0,0,0,1,1,20260701,20991231
1_89779,0,0,0,0,0,1,1,20260701,20991231
1_89800,0,0,0,0,0,1,1,20260703,20991231
1_89801,0,0,0,0,0,1,1,20260703,20991231
1_89802,0,0,0,0,0,1,1,20260703,20991231
1_89803,0,0,0,0,0,1,1,20260703,20991231
1_89804,0,0,0,0,0,1,1,20260703,20991231
1_89805,0,0,0,0,0,1,1,20260703,20991231
1_89806,0,0,0,0,0,1,1,20260703,20991231
1_89807,0,0,0,0,0,1,1,20260703,20991231
1_89808,0,0,0,0,0,1,1,20260703,20991231
1_89809,0,0,0,0,0,1,1,20260703,20991231
1_89810,0,0,0,0,0,1,1,20260703,20991231
1_89811,0,0,0,0,0,1,1,20260703,20991231
1_89820,1,1,1,1,1,0,0,20260709,20991231
1_89821,1,1,1,1,1,0,0,20260709,20991231
1_89822,1,1,1,1,1,0,0,20260709,20991231
1_89823,1,1,1,1,1,0,0,20260709,20991231
1_89824,1,1,1,1,1,0,0,20260709,20991231
1_89833,1,1,1,1,1,0,0,20260709,20991231
1_89834,1,1,1,1,1,0,0,20260709,20991231
1_89835,1,1,1,1,1,0,0,20260709,20991231
