"Секція";"Поле";"Значення"
"Набір даних";"Ідентифікаційний номер набору даних";"7b958c05-43ba-4ae5-b541-01904d658030"
"Набір даних";"Найменування набору даних";"Розклад руху міського електричного та автомобільного транспорту"
"Набір даних";"Стислий опис змісту набору даних";"Набір містить дані про суб’єктів господарювання, що надають послуги пасажирського автомобільного транспорту, дані про маршрути громадського транспорту та кінцеві точки API для отримання даних про міський електричний та автомобільний транспорт.     
Набір містить такі ресурси:    
**GTFSStatic** – кінцева точка API (посилання) для отримання даних про розклад руху міського електричного та автомобільного транспорту КП «Київпастранс» у стандарті GTFS Static;   
**stopsInterchangeKyivCityExpress** – кінцева точка API (посилання) для отримання даних про зупинки/станції, пересадки Київської кільцевої електрички;   
**stopsKyivCityExpress** – кінцева точка API (посилання) для отримання даних про унікальні ідентифікатори, коди та назви станцій (платформ) Київської міської електрички;   
**routeTaxi** – кінцева точка API (посилання) для отримання даних про геометрію, ідентифікатори зупинки початку/кінця сегменту маршруту, напрямок руху по автобусних маршрутах регулярних перевезень, які працюють в режимі маршрутного таксі;    
**routes** – таблиця містить назву, опис, тип транспортних засобів, а також ідентифікатори перевізників, що обслуговують автобусні маршрути регулярних перевезень;    
**stopTimesKyivCityExpress** – кінцева точка API (посилання) для отримання даних про коди та назви станцій (платформ) Київської міської електрички, назви та напрямки маршрутів, а також час прибуття та відправлення поїздів;    
**kyivCityExpress** – кінцева точка API (посилання) для отримання даних про схему Київської кільцевої електрички, зокрема, назви, коди та ідентифікатори зупинок початку та зупинок кінця сегментів маршруту, а також про напрями її маршрутів;    
**stopsInterchangeKyivFunicular** – кінцева точка API (посилання) для отримання даних про ідентифікатори, назви, коди станцій Київського фунікулеру та інформацію про зупинки/станції пересадки;   
**timePeriodKyivFunicular** – кінцева точка API (посилання) для отримання даних про погодинні інтервали руху Київського фунікулера в робочі та вихідні дні;   
**stopTimesKyivFunicular** – кінцева точка API (посилання) для отримання даних про коди та назви станцій Київського фунікулера, напрямки маршрутів, а також час прибуття та відправлення першого та останнього поїздів;    
**calendarKyivFunicular** – кінцева точка API (посилання) для отримання даних про час роботи Київського фунікулера (відкриття та закриття), а також про кількість його вестибюлів;     
**kyivFunicular** – кінцева точка API (посилання) для отримання даних про схему Київського фунікулера, зокрема назви, коди та ідентифікатори зупинок початку та зупинок кінця сегментів маршруту, а також про напрями його маршрутів;    
**stopsInterchangeUnderground** – кінцева точка API (посилання) для отримання даних про ідентифікатори, назви, коди станцій Київського метрополітену та інформацію про зупинки/станції пересадки;   
**timePeriodUnderground** – кінцева точка API (посилання) для отримання даних про погодинні інтервали руху поїздів Київського метрополітену в робочі та вихідні дні;  
**stopTimesUnderground** – кінцева точка API (посилання) для отримання даних про коди та назви станцій Київського метрополітену, а також час відправлення першого та останнього поїзда;  
**calendarUnderground** – кінцева точка API (посилання) для отримання даних про час роботи Київського метрополітену (відкриття та закриття), а також про кількість його вестибюлів;    
**underground** – кінцева точка API (посилання) для отримання даних про схеми руху Київського метрополітену, в тому числі інформацію про ідентифікатори та коди складових сегментів маршруту, назви маршрутів, їх напрямок та порядок слідування;    
**agency** – таблиця містить назви, ідентифікатори та контактні дані суб’єктів господарювання, що надають послуги пасажирського автомобільного транспорту у місті Києві. 

"
"Набір даних";"Підстава та призначення збору інформації";"Наказ Міністерства транспорту та зв'язку України від 07.05.2010 № 278 «Про затвердження Порядку розроблення та затвердження паспорта автобусного маршруту», Наказ Міністерства інфраструктури України від 15.07.2013 № 480 «Про затвердження Порядку організації перевезень пасажирів та багажу автомобільним транспортом»"
"Набір даних";"Мова інформації";"Українська"
"Набір даних";"Дата першого оприлюднення";"2026-03-10T15:04:52"
"Набір даних";"Дата останніх змін";"2026-06-11T14:29:07"
"Набір даних";"Період даних";"-"
"Набір даних";"Періодичність оновлення";"Більш як один раз на день"
"Набір даних";"Ключові слова";"автобус, графік, маршрут, метро, перевізники, транспорт"
"Набір даних";"Гіперпосилання на набір даних";"https://data.kyivcity.gov.ua/dataset/rozklad-rukhu-miskoho-elektrychnoho-ta-avtomobilnoho-transportu-dep-transport"
"Набір даних";"Гіперпосилання на структуру набору даних";"https://data.kyivcity.gov.ua/dataset/rozklad-rukhu-miskoho-elektrychnoho-ta-avtomobilnoho-transportu-dep-transport/structure/download"
"Набір даних";"Розпорядник інформації";"Департамент транспортної інфраструктури"
"Набір даних";"Код ЄДРПОУ розпорядника";"37405284"
"Набір даних";"Код КАТОТТГ розпорядника";"UA80000000000093317"
"Набір даних";"Email розпорядника";"transport@kyivcity.gov.ua"
"Набір даних";"Телефон розпорядника";"+380443666305"
"Набір даних";"Відповідальна особа";"Олександра Кравчук"
"Набір даних";"Email відповідальної особи";"oleksandra.kravchuk@kyivcity.gov.ua"
"Набір даних";"Email автора набору даних";"olena.pastushenko@kyivcity.gov.ua"
"Набір даних";"Ліцензія";"Безкоштовно назавжди для особистого або комерційного використання відповідно до ліцензії Open Data Licence"
"Набір даних";"Кількість ресурсів";"18"

"Ресурс 1";"Ідентифікатор ресурсу";"58f0c3d0-9409-4de9-92c8-de4afa035efd"
"Ресурс 1";"Назва ресурсу";"GTFSStatic"
"Ресурс 1";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про розклад руху міського електричного та автомобільного транспорту КП «Київпастранс» у стандарті GTFS Static. Дані надаються у форматі TXT, значення розділені комою. 
Інформація систематизована в наступні таблиці (ресурси):  
1. **agency** – дані про суб’єктів господарювання, що надають послуги громадського транспорту;   
2. **stops** – дані про контрольні точки, по яких побудовано розклад руху громадського транспорту;    
3. **routes** – дані про маршрути громадського транспорту;     
4. **trips** – дані про рейси громадського транспорту;    
5. **stopTimes** – графік відбуття та прибуття транспорту до та від контрольних точок; В атрибуті **stopSequence** вказується порядковий номер зупинки на рейсі. Перша зупинка (відправлення) має номер 10, друга – 20, третя – 30 і так далі.    
6. **calendar** – варіанти тижневих графіків роботи громадського транспорту;    
7. **calendarDates** – перелік винятків до тижневих графіків;   
8. **shapes** – геопросторові дані про маршрути громадського транспорту. В атрибуті **sequence** вказується послідовність, у якій точки траєкторії з’єднуються для утворення форми. Значення кратні 10.

Види транспорту, що обслуговує КП «Київпастранс» мають такі коди: 1 – трамвай, 2 – тролейбус, 3 – автобус.
"
"Ресурс 1";"Формат";"TXT"
"Ресурс 1";"Код ресурсу";"OTHER"
"Ресурс 1";"Дата створення ресурсу";"2026-03-10T15:16:26"
"Ресурс 1";"Дата оновлення ресурсу";"2026-03-30T14:18:04"
"Ресурс 1";"Період даних";"-"
"Ресурс 1";"Джерело даних";"Автоматизована система диспетчерського управління"
"Ресурс 1";"Володілець(і) даних";"Комунальне підприємство «Київпастранс»"
"Ресурс 1";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 1";"URL поточної версії ресурсу";"http://193.23.225.211:8002/export-gtfs-static"
"Ресурс 1";"Версії ресурсу";"-"
"Ресурс 1";"Доступність через API";"True"

"Ресурс 2";"Ідентифікатор ресурсу";"4b2dec17-7553-4317-a361-3f23be3b300f"
"Ресурс 2";"Назва ресурсу";"stopsInterchangeKyivCityExpress"
"Ресурс 2";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про ідентифікатори, назви, коди станцій Київської кільцевої електрички та інформацію про зупинки/станції пересадки. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі JSON."
"Ресурс 2";"Формат";"JSON"
"Ресурс 2";"Код ресурсу";"OTHER"
"Ресурс 2";"Дата створення ресурсу";"2026-03-10T15:58:10"
"Ресурс 2";"Дата оновлення ресурсу";"2026-03-10T15:59:45"
"Ресурс 2";"Період даних";"-"
"Ресурс 2";"Джерело даних";"ІАС «Майно»"
"Ресурс 2";"Володілець(і) даних";"-"
"Ресурс 2";"Розпорядник(ки) інформації ресурсу";"Департамент транспортної інфраструктури"
"Ресурс 2";"URL поточної версії ресурсу";"https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/21/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=json"
"Ресурс 2";"Версії ресурсу";"-"
"Ресурс 2";"Доступність через API";"True"

"Ресурс 3";"Ідентифікатор ресурсу";"294c28b3-b32d-4957-ba59-b8f866140324"
"Ресурс 3";"Назва ресурсу";"stopsKyivCityExpress"
"Ресурс 3";"Опис ресурсу";"Кінцева точка API (посилання) для отримання даних про унікальні ідентифікатори, коди та назви станцій (платформ) Київської міської електрички. Дані оприлюднені з ІАС «Майно». Дані надаються в форматі GeoJSON."
