id,name,homepage,timezone,language,telephone,email,fareUrl
31725604,Комунальне підприємство «Київпастранс»,https://kpt.kyiv.ua/,Europe/Kyiv,uk,+380800504411,null,https://kyiv.digital/start
03328913,Комунальне підприємство «Київський метрополітен»»,http://metro.kyiv.ua/,Europe/Kyiv,uk,"+380442384526, +380504489171 (цілодобово)",info@metro.kyiv.ua,https://kyiv.digital/start
26124455,Відокремлений підрозділ комунального підприємства «Київпастранс» «Фунікулер»,https://funicular.kyiv.ua/,Europe/Kyiv,uk,+380442546560,null,https://kyiv.digital/start
32159460,Товариство з обмеженою відповідальністю «ЯРОСЛАВЬ-АВТО»,null,Europe/Kyiv,uk,+380445639819,nvgutsol@ukr.net,null
30977976,Приватне підприємство «АВЕН-ЄЗЄР»,null,Europe/Kyiv,uk,+380966341915,ppavenezer@ukr.net,null
24102067,Приватне підприємство «ПАРК»,null,Europe/Kyiv,uk,+380936111316,pppark1996@gmail.com,null
30056005,Приватне підприємство «УНІВЕРСАЛ-ТРАНС»,null,Europe/Kyiv,uk,+380445316450,universal-trans@ukr.net,null
43700504,Товариство з обмеженою відповідальністю «ДЕСНЯНСЬКА АВТОБАЗА»,null,Europe/Kyiv,uk,+380445316450,bsk2017@ukr.net,null
30497614,Товариство з обмеженою відповідальністю «АВТОСЕРВІС»,null,Europe/Kyiv,uk,+380445911277,grona@ukr.net,null
35080121,Товариство з обмеженою відповідальністю «Д-М Київтранс»,null,Europe/Kyiv,uk,+380504750733,dmkievtrans2010@gmail.com,null
33305729,Товариство з обмеженою відповідальністю «КИЙТРАНС-2005»,null,Europe/Kyiv,uk,+380444060990,info@kt2005.kiev.ua,null
34189167,Товариство з обмеженою відповідальністю «ПОЛІТЕХАВТО-Б»,null,Europe/Kyiv,uk,+380672993186,politexavtob@gmail.com,null
32527677,Товариство з обмеженою відповідальністю «РАДОНЬ»,null,Europe/Kyiv,uk,+380961807707,radon_kiev@ukr.net,null
