uid,agencyId,shortName,fullName,description,type,homepage,colour,textColour,sortOrder
150,30056005,150,Маршрутне таксі 150,вул. Милославська – Севастопольська площа. Тривалість маршруту 60 хв. Частота відправлення 10-20 хв.,3,null,null,null,1
151,24102067,151,Маршрутне таксі 151,вул. Закревського – станція метро «Почайна». Тривалість маршруту 40 хв. Частота відправлення 16-32 хв.,3,null,null,null,2
157,30977976,157,Маршрутне таксі 157,станція метро «Почайна» – вул. Бальзака. Тривалість маршруту 35 хв. Частота відправлення 16-32 хв.,3,null,null,null,3
165,24102067,165,Маршрутне таксі 165,Львівська площа – зал. вокзал «Центральний». Тривалість маршруту 14 хв. Частота відправлення 14-28 хв.,3,null,null,null,4
166,30977976,166,Маршрутне таксі 166,станція метро «Лук'янівська» – вул. Мрії. Тривалість маршруту 25 хв. Частота відправлення 10-20 хв.,3,null,null,null,5
171,30056005,171,Маршрутне таксі 171,вул. Романа Ратушного – станція метро «Палац Спорту». Тривалість маршруту 30 хв. Частота відправлення 10-20 хв.,3,null,null,null,6
174,32527677,174,Маршрутне таксі 174,станція метро «Славутич» – база відпочинку – «Либідь». Тривалість маршруту 15 хв. Частота відправлення 10-20 хв.,3,null,null,null,7
177,30977976,177,Маршрутне таксі 177,вул. Митрополита Андрея Шептицького – станція метро «Бориспільська». Тривалість маршруту 45 хв. Частота відправлення 11-22 хв.,3,null,null,null,8
178,30977976,178,Маршрутне таксі 178,вул. Митрополита Андрея Шептицького – станція метро «Бориспільська». Тривалість маршруту 45 хв. Частота відправлення 9-18 хв.,3,null,null,null,9
179,30977976,179,Маршрутне таксі 179,станція метро «Політехнічний інститут» – вул. Татарська. Тривалість маршруту 25 хв. Частота відправлення 8-16 хв.,3,null,null,null,10
180,32159460,180,Маршрутне таксі 180,вул. Милославська – просп. Свободи. Тривалість маршруту 55 хв. Частота відправлення 18-36 хв.,3,null,null,null,11
181,30977976,181,Маршрутне таксі 181,площа Т. Шевченка – зал. вокзал «Центральний».Тривалість маршруту 45 хв. Частота відправлення 11-22 хв.,3,null,null,null,12
182,30977976,182,Маршрутне таксі 182,станція метро «Нивки» – просп. Свободи. Тривалість маршруту 25 хв. Частота відправлення 8-16 хв.,3,null,null,null,13
183,30056005,183,Маршрутне таксі 183,просп. Свободи – станція метро «Почайна». Тривалість маршруту 30 хв. Частота відправлення 12-24 хв.,3,null,null,null,14
187,43700504,187,Маршрутне таксі 187,станція метро «Нивки» – вул. Тулузи. Тривалість маршруту 25 хв. Частота відправлення 6-12 хв.,3,null,null,null,15
188,24102067,188,Маршрутне таксі 188,станція метро «Нивки» – вул. Симиренка. Тривалість маршруту 40 хв. Частота відправлення 8-16 хв.,3,null,null,null,16
189,32159460,189,Маршрутне таксі 189,вул. Чорнобильська – вул. Володимирська. Тривалість маршруту 50 хв. Частота відправлення 13-26 хв.,3,null,null,null,17
192,30056005,192,Маршрутне таксі 192,просп. Червоної Калини – станція метро «Почайна». Тривалість маршруту 40 хв. Частота відправлення 8-16 хв.,3,null,null,null,18
193,30977976,193,Маршрутне таксі 193,Дарницька площа – ж/м «Корчувате». Тривалість маршруту 36 хв. Частота відправлення 14-28 хв.,3,null,null,null,19
194,35080121,194,Маршрутне таксі 194,вул. Ірпінська – гіпермаркет «Ашан Біличі». Тривалість маршруту 25 хв. Частота відправлення 10-20 хв.,3,null,null,null,20
198,30056005,198,Маршрутне таксі 198,Інститут серцево-судинної хірургії – зал. вокзал «Центральний». Тривалість маршруту 25 хв. Частота відправлення 10-20 хв.,3,null,null,null,21
200К,30056005,200К,Маршрутне таксі 200К,вул. Василя Стефаника – вул. Миколи Ушакова. Тривалість маршруту 20 хв. Частота відправлення 5-10 хв.,3,null,null,null,22
201,24102067,201,Маршрутне таксі 201,бульв. Миколи Руденка – станція метро «Шулявська». Тривалість маршруту 44 хв. Частота відправлення 7-14 хв.,3,null,null,null,23
202,33305729,202,Маршрутне таксі 202,станція метро «Святошин» – вул. Академіка Булаховського. Тривалість маршруту 20 хв. Частота відправлення 7-14 хв.,3,null,null,null,24
203,33305729,203,Маршрутне таксі 203,станція метро «Святошин» – кінотеатр «Лейпціг». Тривалість маршруту 18 хв. Частота відправлення 7-14 хв.,3,null,null,null,25
205,30056005,205,Маршрутне таксі 205,Індустріальний шляхопровід – Дарницька площа. Тривалість маршруту 50 хв. Частота відправлення 10-20 хв.,3,null,null,null,26
211,30977976,211,Маршрутне таксі 211,Ж/м ДВРЗ – Центральний автовокзал. Тривалість маршруту 45 хв. Частота відправлення 10-20 хв.,3,null,null,null,27
212,30977976,212,Маршрутне таксі 212,станція метро «Либідська» – ТЦ «Магелан». Тривалість маршруту 45 хв. Частота відправлення 7-14 хв.,3,null,null,null,28
222,33305729,222,Маршрутне таксі 222,станція метро «Лівобережна» – просп. Червоної Калини. Тривалість маршруту 30 хв. Частота відправлення 12-24 хв.,3,null,null,null,29
223,33305729,223,Маршрутне таксі 223,вул. Мрії – зал. вокзал «Південний». Тривалість маршруту 45 хв. Частота відправлення 12-24 хв.,3,null,null,null,30
225,30977976,225,Маршрутне таксі 225,станція метро «Харківська» – станція метро «Дарниця». Тривалість маршруту 45 хв. Частота відправлення 30-60 хв.,3,null,null,null,31
227,30056005,227,Маршрутне таксі 227,Діагностичний центр – вул. Кадетський Гай. Тривалість маршруту 55 хв. Частота відправлення 18-36 хв.,3,null,null,null,32
233,30977976,233,Маршрутне таксі 233,станція метро «Лісова» – вул. Лісківська. Тривалість маршруту 45 хв. Частота відправлення 15-30 хв.,3,null,null,null,33
239,33305729,239,Маршрутне таксі 239,станція метро «Либідська» – станція метро «Шулявська». Тривалість маршруту 40 хв. Частота відправлення 8-16 хв.,3,null,null,null,34
